Category,Component,Quantity,Price Units CHF,Price Single CHF,Price Order CHF,Shipping CHF,Pieces in Order CHF,Link CHF,Price Units USD,Price Single USD,Price Order USD,Shipping USD,Pieces in Order USD,Link USD
Mechanical,Magnets 5x2.8,10,0.55,4.4,4.4,0,80,https://www.amazon.de/-/en/KOBOKO-Neodymium-Magnets-Whiteboard-Magnetic/dp/B0CPBDCWXS?crid=MYDPKCW9MA8R&dib=eyJ2IjoiMSJ9.xT9-juI3fVdfgK2eRb9H1qzYqDvm_IyWqkDACb7aXdin0xLkdu-WZUocn6OBS4OmVYQvgYRmxhWbggJuZ0DfRFB9z2I7H8lC4rVeTtCs6T70oO6dOtEOLIrncX9zYv6uiLt3CxQDWCPhCS1pbxpb6kLh7wdAJ_Sk6Xo2RiFQQoATgMtRXlPp2I2RrX1mEGcmGBy1VYvKuKL4UccODXZSdQVrD67dP9GZI2h_zGqB9we6LbYWwi3h8wUFcIdY9LPQR-VaPkddYoT9t94pZbcwr3vBt2lB67hdvEaI11OYbqXv79VGcy7HHsn7V7OtPa5qrTGy6RzwuMWtyMPsG2KlR_iKCavoEHKZSLOq-SAN61egdVpggs5kqQHKmHqet9XM0wySzibt_GmT4kRC31qIXx-BXFbjd2BqQwFUqlbBlj941VtP8s3dXz7yT68uOfTN.zLgPsTHfwQgY2HYzOpV8jHEPGpi3ezgLf-PamyPwVq4&dib_tag=se&keywords=Magnets%2B5x2.8&qid=1742851766&sprefix=magnets%2B5x2.8%2Caps%2C205&sr=8-15&th=1,1.2375,9.9,9.9,0,80,https://www.amazon.com/Magnets-Neodymium-Magnet-Whiteboard-Kitchen/dp/B09GLWMN7N/ref=sr_1_5?crid=1E9U1UNVO8AAI&dib=eyJ2IjoiMSJ9.baYptUCoLq6m6DN-vlGAAdb_meC29qTXm5O__RxYkJD9witSqP_CjtCwPaVDYsK-h3oqKMKd4wt2RCRyDkA1wEQW8dDlwM6c6TgoETT7bfbHB_brFK5ylx4fWPuirVBG2e6zxRxbUMBpQleL0g7nds2ybNDQFxtJGwIHDF3QzbGmjBgAsDIPQoDqmtiC7Q9tzdaHBUlMicNaIkZbXx6lHi539PuXyOE1TOStFlCLV5g.SVwkVsLP6XZlRJtzfGJx_I-E_FC65iaZUzw1EbZUb-k&dib_tag=se&keywords=Magnets%2B5x2.8&qid=1744569108&sprefix=magnets%2B5x2.8%2Caps%2C269&sr=8-5&th=1
Mechanical,Tendon 0.39-0.41,15,2.64,176,176,28,1000,https://www.angel-domaene.de/wft-new-67kg-strong-trans-1000m-trans-tk67kg-0-39mm-1000m--28594.html?language=en,3,30,30,0,150,https://www.berkley-fishing.com/products/x9-braid-filler-spool?variant=42291219988619
Mechanical,Pin 2x6,20,5,5,5,0,20,https://www.hasler.ch/?srv=sortiment&pg=det&artId=100008465&trefferUUID=5C547AF1-2DC7-4239-BC58CCA7A4CF7734,4.196,10.49,10.49,0,50,https://www.mcmaster.com/products/dowel-pins/dowel-pins-2~~/diameter~2-0000-mm/diameter~2-000-mm/diameter~2-mm/length~6-mm/
Mechanical,Pin 4x10,1,0.07,7,7,0,100,https://www.amazon.de/-/en/Parallel-Dowel-Fasten-Elements-Silver/dp/B00PZOGVHW/ref=sr_1_5?crid=2HH1UFRML183I&dib=eyJ2IjoiMSJ9.0Z4RTHX1NCPT-KSGMP35XUPnPZVwzaspEWjoZm8_npz7O3CS2tRMNZA5nKaxbyr8waKocl4i87V-PEzR8h6HRFrewCRkJa1t_1G_CIMC8x0lsBHYc0cdD_yUM26V-eBwzunoegcmQnRYRCj1IsXZnFKK2IV4l1BQSfuuCkp7OkfiaJpguUqrN6cXHPf3nX4VodpwSuha6h1JhG9AD7Bxb_k6xTb-WxUe7N1-E8R3Xo-TbUkuMbV9zRqKHNAlwcMtg_jpzRD5EFvKeJpOHDhzZGdM92phCVImiAtHy_vs-vaTaN-l8BVXZaZ8ag_sVjNxWsji_Ugsm0uyicxuZQXouqpVd33tGa8LpGVzGixc3mNsMYleg_NI-jSODn2v6docclvrpYatmBspf5Vo9QS9HxufWw0H6u618b3QdZOh0ktcwAsUrW6a10Up9ec8uf1e.uas4BWtn8a06mxI8YzMDGHs5kf595Bw5WNk6-x5pVs4&dib_tag=se&keywords=2x12+pins+metal&qid=1742955501&sprefix=2x12+pins+met%2Caps%2C165&sr=8-5,0.2428,12.14,12.14,10,50,https://www.mcmaster.com/catalog/131/3829/91595A152
Mechanical,PTFE Tube 0.9x1.5,1,2.6,13,13,0,5,https://www.amazon.de/-/en/dp/B0F28X54DX?crid=3PIOZLCT620ZG&dib=eyJ2IjoiMSJ9.q5iOt0dPRHf7qPpZ48BCiYf25KcJ34_uBAgrWthC-FCeuTM2jOPN1KyGCsfsHZw9O-4nMU9Y2lwVk28MvMDtU3N9B37PjjjgsKO3u1CQEGQfA_qHHsfgoPxSvegRX1JkMYinTNULjghQMzOGPLRlTtAZ_X02TmrOQFYMkoE8YEC-U61me3VaVNJhhsm6O8Le3Uz2gYufKSCtbfXpU931aD10du6KPke8ft1xrzz1J0KnGDsjBQueLFCUZGfypJr09pqEsxcaicWNreKvx-EIOxwxlREGkm-RHs4C8TdMjqn8_kZRFhPBPtc5goyFBn6Qs3uiWT3lVJQGQz-hpXRVVg.R-3ZsoVWivVCXRcLt57DYum_YprKcyExN66kWMlj2I8&dib_tag=se&keywords=PTFE%2B0.9x1.5&qid=1742863396&s=industrial&sprefix=ptfe%2B0.9x1.5%2Cindustrial%2C116&sr=1-4&th=1,15.5,15.5,15.5,0,1,https://www.amazon.com/Meter-Micro-Flexible-0-3mm-0-5x0-9mm/dp/B0DHRXF72Y?dib=eyJ2IjoiMSJ9.uW3xalr0e5G5PooVeerUUmZbY3aB69fXtxavtCji-fJYWp0ea6fIihCdUnNzAIBGxuHOyHQmJhZaDTw1DIvyLIRPhtrfzGEgw3aN12w4q2bMZstB44uXb4FyI89Ul5aCqX6T_Qudm_LS_gYh-lTphjTlpvmG_jlI0rILgyqGFqR6YUo0Ulktb5o8nEZQBBck6CHIuXJd5CQAjGg2SoKb0P7Po6cugH223fDRdGIrftg.db9_n4X1cJ6EEf9Ovbx89zZ6OsOE7NcITWNVF41Rv8A&dib_tag=se&keywords=PTFE%2Btube%2B0.9x1.5&qid=1747926434&sr=8-9&th=1
Mechanical,Stabilizing Rods M6x130,2,3.606666667,5.41,5.41,0,3,https://www.amazon.de/-/en/QUARKZMAN-Threaded-Stainless-Furniture-Assembly/dp/B0D5DK5VVG/ref=sr_1_5?crid=1V4AP6ZEP2M21&dib=eyJ2IjoiMSJ9.vNRa2TgF-5QE8tQNhA82A8ogcq8P57Vl9a32cGh90cZYuIDYzIvOqJx05Jt7Ad8rlRaxkriUBMmCXEyTCkYP1BVcyboqgwH5bcZVXniYcirXFt1WJXRxkkaUuHvhupJ_sxbNjYdXqVxkJMru1NIDtO485OZyIHzp5Ox_xDq-CTSJFsN8cAhi7gHsSuXIdHZKcyqH8j3NvFhfj-h4zs6eP0LPCeCA-wSzVvbqcso5nAjRmRt3h7jdJYR881xiANlSTvrBycyMjaZs1-kEGHtg54BXIbKUOAHQ01BoNn3hPiw.fTjL0B2ZD7fUvh2btGgf1V0qOQbswX-1EZaqy0Xfyk8&dib_tag=se&keywords=m6%2B130mm%2Bthreaded%2Brods&qid=1744786108&s=industrial&sprefix=m6%2B130mm%2Bthreaded%2Brods%2Cindustrial%2C187&sr=1-5&th=1,4.995,9.99,9.99,0,4,https://www.amazon.com/MECCANIXITY-Fully-Threaded-Thread-Stainless/dp/B0BLH337DQ/ref=sr_1_3?crid=1YQDPA8V5YOM9&dib=eyJ2IjoiMSJ9.jGI7DlNf8T1c9hU-kju0Nih0Mi6oXu0t-Rpj1Sudy5MoEEpUYOMIUJW08TxPeIRiWM5UzFoGDny-68sk8z1dpu4HE4p1lifC7aXHq3z1E40NLcdCJfLajBT-eVAo4komCDDyLpDyOsZYxeAmD8KfFPK33dJnQfOfouE0s21YHFyeb4YkyrmRx_3o1X8yZ_UXWXkivyvWIb5LqXLAPtE0tIIBbJ8KbM7u8AErkIjJK1M.x9b1Hj4b7yFlrTqm9XHGSkawwngMdzenlCaHE-fnV2g&dib_tag=se&keywords=m6+rods+130&qid=1746479415&sprefix=m6+rods+13%2Caps%2C251&sr=8-3
Mechanical,M6 Nut for Rod,2,0.896,4.48,4.48,0,10,https://www.amazon.de/-/en/M6-Leryati-Standard-Stainless-Hexagonal/dp/B0BVZDRNSK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.wynreT6Y6i2kvTZMIqk19Ub9GJOrOxWcJvLdJil8uV5icL2vUZLmQSn7debxJ37SiIkw3XB3WRx6qx0IJ5zIkciIyJRrVJNsKRFakNFLPT7-spb27CFCib5uICTsCaZQ_OQaCbotuvHDGfH-waUb10vsJVHCVMn5NqogJCX5JoKkInX7oC1EKaTffK-HfcfPFO4BxK1LgmVeK_-KpRo4Bu7FObZyWvUpAYb3YtdPeZgG3EYSsCfE_q_0scnXG7-U8NcVsrsaNq5cx8AAnrrtO2-rB_pQ5niJPpg8rXPdZo0.InCmx6IVAnoMJ7nSu1Xc212Htze9Y2uzFJJ_lHR6CHo&dib_tag=se&keywords=M6%2BNut&qid=1744786231&s=industrial&sr=1-5&th=1,0.599,5.99,5.99,0,20,https://www.amazon.com/Stainless-Fasteners-Replacement-M6-1-0mm-Hexagonal/dp/B0CZQRH3L2/ref=sr_1_3?crid=11WRGS8TUR7HK&dib=eyJ2IjoiMSJ9.VQQYmGcWp3lLc_d4XmEKZMePh8LrwlYmTv__Ad3kfe78hZ6v1_NdSiB9cY14VPnxsroDNiXTzHPXuV1uOIuvKx_8kNKPUUNbCwOqodPSUt-3kz-XSr2L-_AwO1gZAJDuQAzx5VR5palQLdF5aSOzDOVbOQ9mRRyghHYl1hWkQq2I6j2tMYT0JBaeiiZIoiE3OsLw8MTAOc317GBgYe247JbstJz9TnmNySqchmUlUT4.6uCU-mKCuaHrwVuJdAy4MvAqux-EYP-vt0XBbNAEJzQ&dib_tag=se&keywords=m6%2Bnut&qid=1746479570&sprefix=m6%2Bn%2Caps%2C169&sr=8-3&th=1
Mechanical,GT2 Belt 140,1,4.42,8.84,8.84,0,2,https://www.amazon.de/-/en/Closed-Timing-Pieces-Every-Length/dp/B07D91WJQJ/ref=sr_1_2?crid=1G5VMHZO52Q89&dib=eyJ2IjoiMSJ9.hEbiCN_pYNiK4dGcZ3ULcMjVlv9hzd24yPLgISKYsJjfnlyZba_ONI3MFGvRw1NOQmot74B1UQhO1FYasKCoAA-S6fmb6-SSWkVIJaZUQvHl1Wj_0MwGJfYYiAjt1ljZckZQKhOWlFNn1tcD-nIek2bsfbGeTQwFwmkumkXZyM0UbF0a1x-GiCMSdXGGZC-jQ7Cpx_fY3_LTMOBnZOhyw3TAHsJ_MA8ToAm8RuhUeVqF5k5m8KYA_nxnz1WIYpWOgy7_8DeJrNQo1H0PD_YZe7p5yZ01ToA-Y1lFj9k6yWw.wKQ0f0K7_a80ks3lfcQ5MIqiDOxzzQrwZe1SRCiPXcI&dib_tag=se&keywords=GT2%2BBelt%2B140mm&qid=1744784963&s=industrial&sprefix=gt2%2Bbelt%2B140mm%2Cindustrial%2C123&sr=1-2&th=1,1.299,12.99,12.99,0,10,https://www.amazon.com/Zeelo-140-2gt-6-Endless-Length-Synchronous/dp/B0BZNSPJS6/ref=sr_1_3?crid=1KBS9YZ67XDKU&dib=eyJ2IjoiMSJ9.d8hG7Sa5tU-zKlQFfVCgRf_CiZABd62ubM5ZElb18BONcV5bToLroBJC2kHobHpbSqy4E5DdLz8c5AXMM-WQiNQd_JYJghxrmv20uJeY_9E5d5KaB9XpOp8qSb5UJYTntxPF8ETLmsXtQb1-Ql0eRMfLbS139ntiYPYwSoxsVnIzLZcprZ54XXIXtqxfxQrlO5--JcdKGJnFeu8krZsLYP2FfZxEIgK5AgYcJ8Kmvo8.2wdp-N5GPBJczDrJrSLFTs2dklUxaN_vS31iJzrWhYo&dib_tag=se&keywords=GT2%2BBelt%2B140&qid=1744577578&sprefix=gt2%2Bbelt%2B140%2Caps%2C158&sr=8-3&th=1
Mechanical,Screw M4x14,2,0.7,7,7,0,20,https://www.amazon.de/-/en/screws-cylinder-hexagon-socket-carbon/dp/B0CD22J9BB?crid=3QT52L51PWYBB&dib=eyJ2IjoiMSJ9.6uYtnx1INkfMqGzJMA9ELWXekBKD0s6zfQuuYG0t3JSAcR39i0nf8DWXAOmjpeAh7DfCfJ37Ul0qTzqbbRu77P2-e75WtcXR8mbIQc9j7qa4QXUS_3f6v8jpQ0yVn6Qu1OQzzXLOwV2dK3vfD8LhXsjA_zj7529S7jR4wmzI1GwkYHBNVWXMv49Ci-zQAY16r3qbKD-AquMfFAt4JbpB-fqxe3kBhvVQI6Xh59nzx50XvlCCvmdmyNWf6_GVu1fAj2ax_SQr7H-pUNKIgWbSch9jJHGSsb1Tc9GZcgdcsGH8r-wY8bBbOaydA9b5T2eMCNohzAB48FdpSUl3Cfne03wuudjYyxZIiNVyU4wGms7ifeLUI7M-VC_XDsKdKTCi2O9rlMo5XvUokuSk7qzTSFwtnI8wcXJGQLEIlJ-P6Xiw_5Q4ihX8wirKsviUyEvN.z9mh61kdjBPKXYtTCkiTN_c23sNfeGWmokb3tAHiLPI&dib_tag=se&keywords=Screw+M4x14&qid=1742863794&sprefix=screw+m4x14%2Caps%2C239&sr=8-8,0.645,6.45,6.45,0,20,https://www.amazon.com/M4x14mm-Cylinder-Fasteners-Hexagonal-Machine/dp/B0CD22J9BB?crid=39CQEJRQXWFKI&dib=eyJ2IjoiMSJ9.387DMeMr6JjAyvQaBE5OJBuCEos4dWXrLNvDlvWZmYJlkoKxXQf_4nLGx1uQwqKFQFl01-YrI6rG-B7vg8CL7UQUPlBrIJOjNvA9nFc0tXdB8id86pN5VOhmRaBUzwwPTd0mQEhqXInxZj6YS2RnFzekKQkFtcQmwX0If2vxJ3feTgZrJtaa657_E7WWru7DkWqEhWMljpNNFhjppqdJaJZR420uNn4937-DQrKgExc.uu9IaNur9RuM6CtOTLPt8o5rRBXTn63P0dX0aiX7-6I&dib_tag=se&keywords=Pack%2Bof%2B20%2BM4%2Bx%2B14%2Bmm%2Bscrews%2C%2Bcylinder%2Bscrews%2Bwith%2Bhexagon%2Bsocket%2C%2Bcarbon%2Bsteel%2Bscrews%2C%2Bhexagon%2Bsocket%2Bscrews%2C%2Bfull%2Bthread&qid=1747926898&sprefix=pack%2Bof%2B20%2Bm4%2Bx%2B14%2Bmm%2Bscrews%2C%2Bcylinder%2Bscrews%2Bwith%2Bhexagon%2Bsocket%2C%2Bcarbon%2Bsteel%2Bscrews%2C%2Bhexagon%2Bsocket%2Bscrews%2C%2Bfull%2Bthread%2B%2Caps%2C461&sr=8-4&th=1
Mechanical,Screw M4x12,4,0.07,7,7,0,400,https://www.amazon.de/-/en/Threaded-Cylinder-Electronics-Household-Appliances/dp/B0D4M86Q5W?crid=2Z6ZWGO1L14O8&dib=eyJ2IjoiMSJ9.VKv78AOtrjN8z8zIStJewqpbQJ1RsTyHm4BEmzrxEzytGYoLly1U_C27XuA8lqQenzA5cH25WvXgP28SDWg_VO4fH-Dv8dTKZOcbwDawzSmCCVu5lqzLwE9D8rHe5IUBI1X0NYzUnmsgCOS1qjCrKDgZJObcAcjduztEPgrqW-vu18nLNunVyyUtTohpH1RL4sEDug4txWGoJh1YQjf53be0beqnLsY9_RcSxfb3coRbIp8GWAiqyt_qK8fJbL85s_7gzH79zBn-UIvKMFTIMVKcyL44XURVnxxLG5Uw5_B_smiETKSuJvsFHosF9FRqFiRchFfs8XwD3ZGscJceSfSpqbmnFeC70A9KszKjCajICWBz6ffYC4voBBSO_9SPoCke7Opfw19l3UxkOZyRbTSq-j0svyaBcpPxfCqGbm5xmwKj8d118e18KxPOLOti.JCUnys98trEGafexsqftCR_ZySsPO2JE3Up_pOSdnpo&dib_tag=se&keywords=m4%2Bscrew&qid=1738790626&sprefix=m4%2Bscrew%2Caps%2C105&sr=8-10&th=1,0.08410526316,7.99,7.99,0,380,https://www.amazon.com/Taiss-380PCS-Socket-Assortment-Washers/dp/B0CWXJ4G63?crid=38YES5E35SJTL&dib=eyJ2IjoiMSJ9.0pE1eFNfTHV4f0ALzVMstbjPaL96xOTWfYtT5JvV0pcDfp-uS27tCKvn-2xd2B6Ipq5gMF0Qz4aTbvXMnkP6w8AOmY2ukFQjWgnq3Jl3YSN-y2SHYuhJGWkXW7jBP_wsTjX7JHDamqUK6zm1nk742-2zRyF2JQb20q1lyq4EFzK6RU7xALV7Nl0UpG0POVzX0sR3WZOX92kxIIspC752mFd5lrbL5jbtT0-2Hv4z6koCpgcXOB09EmxmZp0ZXSKJYx6cmzdBUvABSz1sBoVKBuxI1S664wzKKqA3j72J5Aw.AXP2ZuvRuv8KQkNjEtuIHFRXpwhtbeJWi3ENL-3p2tk&dib_tag=se&keywords=M4%2Bset&qid=1747927938&s=industrial&sprefix=m4%2Bset%2Cindustrial%2C280&sr=1-4&th=1
